id,type,amount,touristId,zone,timestamp
3,SPA_SERVICE,20.0,9,Baños y SPA,2026-05-21T14:45:06.379137200
4,ENCLOSURE_FEE_VIP,75.0,9,Recinto VIP,2026-05-21T14:45:06.379137200
9,SOUVENIR,15.0,10,Recinto Central,2026-05-21T14:45:06.380460400
4,SPA_SERVICE,20.0,10,Baños y SPA,2026-05-21T14:45:06.381461700
5,ENCLOSURE_FEE_BASIC,10.0,10,Recinto Básico,2026-05-21T14:45:06.381461700
11,TICKET,25.0,11,Lugar de Arribo,2026-05-21T14:45:06.382671900
12,TICKET,25.0,12,Lugar de Arribo,2026-05-21T14:45:06.384054700
13,TICKET,25.0,13,Lugar de Arribo,2026-05-21T14:45:06.384054700
14,TICKET,25.0,14,Lugar de Arribo,2026-05-21T14:45:06.385556600
15,TICKET,25.0,15,Lugar de Arribo,2026-05-21T14:45:06.385556600
6,ENCLOSURE_FEE_BASIC,10.0,1,Recinto Básico,2026-05-21T14:45:06.386555
7,ENCLOSURE_FEE_BASIC,10.0,2,Recinto Básico,2026-05-21T14:45:06.386555
10,SOUVENIR,15.0,3,Recinto Central,2026-05-21T14:45:06.387819500
8,ENCLOSURE_FEE_BASIC,10.0,3,Recinto Básico,2026-05-21T14:45:06.388816400
7,ENCLOSURE_FEE_PREMIUM,30.0,4,Recinto Premium,2026-05-21T14:45:06.388816400
11,SOUVENIR,15.0,5,Recinto Central,2026-05-21T14:45:06.389816500
9,ENCLOSURE_FEE_BASIC,10.0,5,Recinto Básico,2026-05-21T14:45:06.389816500
12,SOUVENIR,15.0,6,Recinto Central,2026-05-21T14:45:06.390814300
5,ENCLOSURE_FEE_VIP,75.0,6,Recinto VIP,2026-05-21T14:45:06.390814300
8,ENCLOSURE_FEE_PREMIUM,30.0,7,Recinto Premium,2026-05-21T14:45:06.391815600
9,ENCLOSURE_FEE_PREMIUM,30.0,8,Recinto Premium,2026-05-21T14:45:06.391815600
13,SOUVENIR,15.0,9,Recinto Central,2026-05-21T14:45:06.392815
6,ENCLOSURE_FEE_VIP,75.0,9,Recinto VIP,2026-05-21T14:45:06.392815
14,SOUVENIR,15.0,10,Recinto Central,2026-05-21T14:45:06.393814800
10,ENCLOSURE_FEE_PREMIUM,30.0,10,Recinto Premium,2026-05-21T14:45:06.393814800
15,SOUVENIR,15.0,11,Recinto Central,2026-05-21T14:45:06.394821700
11,ENCLOSURE_FEE_PREMIUM,30.0,11,Recinto Premium,2026-05-21T14:45:06.394821700
16,SOUVENIR,15.0,12,Recinto Central,2026-05-21T14:45:06.396315500
12,ENCLOSURE_FEE_PREMIUM,30.0,12,Recinto Premium,2026-05-21T14:45:06.396315500
13,ENCLOSURE_FEE_PREMIUM,30.0,13,Recinto Premium,2026-05-21T14:45:06.397339300
10,ENCLOSURE_FEE_BASIC,10.0,14,Recinto Básico,2026-05-21T14:45:06.397339300
17,SOUVENIR,15.0,15,Recinto Central,2026-05-21T14:45:06.398338700
7,ENCLOSURE_FEE_VIP,75.0,15,Recinto VIP,2026-05-21T14:45:06.398849600
16,TICKET,25.0,16,Lugar de Arribo,2026-05-21T14:45:06.400862700
17,TICKET,25.0,17,Lugar de Arribo,2026-05-21T14:45:06.401861800
18,TICKET,25.0,18,Lugar de Arribo,2026-05-21T14:45:06.402866
19,TICKET,25.0,19,Lugar de Arribo,2026-05-21T14:45:06.402866
20,TICKET,25.0,20,Lugar de Arribo,2026-05-21T14:45:06.403868700
11,ENCLOSURE_FEE_BASIC,10.0,1,Recinto Básico,2026-05-21T14:45:06.403868700
18,SOUVENIR,15.0,2,Recinto Central,2026-05-21T14:45:06.404868600
8,ENCLOSURE_FEE_VIP,75.0,2,Recinto VIP,2026-05-21T14:45:06.405870500
5,SPA_SERVICE,20.0,3,Baños y SPA,2026-05-21T14:45:06.405870500
12,ENCLOSURE_FEE_BASIC,10.0,3,Recinto Básico,2026-05-21T14:45:06.406861100
14,ENCLOSURE_FEE_PREMIUM,30.0,4,Recinto Premium,2026-05-21T14:45:06.407954900
13,ENCLOSURE_FEE_BASIC,10.0,5,Recinto Básico,2026-05-21T14:45:06.407954900
19,SOUVENIR,15.0,6,Recinto Central,2026-05-21T14:45:06.407954900
14,ENCLOSURE_FEE_BASIC,10.0,6,Recinto Básico,2026-05-21T14:45:06.409298200
9,ENCLOSURE_FEE_VIP,75.0,7,Recinto VIP,2026-05-21T14:45:06.409298200
15,ENCLOSURE_FEE_BASIC,10.0,8,Recinto Básico,2026-05-21T14:45:06.410299500
15,ENCLOSURE_FEE_PREMIUM,30.0,9,Recinto Premium,2026-05-21T14:45:06.410299500
16,ENCLOSURE_FEE_PREMIUM,30.0,10,Recinto Premium,2026-05-21T14:45:06.411432700
20,SOUVENIR,15.0,11,Recinto Central,2026-05-21T14:45:06.412444300
10,ENCLOSURE_FEE_VIP,75.0,11,Recinto VIP,2026-05-21T14:45:06.412444300
17,ENCLOSURE_FEE_PREMIUM,30.0,12,Recinto Premium,2026-05-21T14:45:06.412444300
18,ENCLOSURE_FEE_PREMIUM,30.0,13,Recinto Premium,2026-05-21T14:45:06.413646100
16,ENCLOSURE_FEE_BASIC,10.0,14,Recinto Básico,2026-05-21T14:45:06.414649700
11,ENCLOSURE_FEE_VIP,75.0,15,Recinto VIP,2026-05-21T14:45:06.415641700
17,ENCLOSURE_FEE_BASIC,10.0,16,Recinto Básico,2026-05-21T14:45:06.415641700
12,ENCLOSURE_FEE_VIP,75.0,17,Recinto VIP,2026-05-21T14:45:06.416651900
18,ENCLOSURE_FEE_BASIC,10.0,18,Recinto Básico,2026-05-21T14:45:06.416651900
21,SOUVENIR,15.0,19,Recinto Central,2026-05-21T14:45:06.417644400
13,ENCLOSURE_FEE_VIP,75.0,19,Recinto VIP,2026-05-21T14:45:06.418644700
14,ENCLOSURE_FEE_VIP,75.0,20,Recinto VIP,2026-05-21T14:45:06.419964400
21,TICKET,25.0,21,Lugar de Arribo,2026-05-21T14:45:06.420962300
22,TICKET,25.0,22,Lugar de Arribo,2026-05-21T14:45:06.422447300
23,TICKET,25.0,23,Lugar de Arribo,2026-05-21T14:45:06.423450900
24,TICKET,25.0,24,Lugar de Arribo,2026-05-21T14:45:06.424810200
25,TICKET,25.0,25,Lugar de Arribo,2026-05-21T14:45:06.424810200
19,ENCLOSURE_FEE_BASIC,10.0,1,Recinto Básico,2026-05-21T14:45:06.426312600
22,SOUVENIR,15.0,2,Recinto Central,2026-05-21T14:45:06.426312600
20,ENCLOSURE_FEE_BASIC,10.0,2,Recinto Básico,2026-05-21T14:45:06.427310700
19,ENCLOSURE_FEE_PREMIUM,30.0,3,Recinto Premium,2026-05-21T14:45:06.428310400
15,ENCLOSURE_FEE_VIP,75.0,4,Recinto VIP,2026-05-21T14:45:06.428310400
23,SOUVENIR,15.0,5,Recinto Central,2026-05-21T14:45:06.429647200
21,ENCLOSURE_FEE_BASIC,10.0,5,Recinto Básico,2026-05-21T14:45:06.429647200
24,SOUVENIR,15.0,6,Recinto Central,2026-05-21T14:45:06.430648200
22,ENCLOSURE_FEE_BASIC,10.0,6,Recinto Básico,2026-05-21T14:45:06.430648200
20,ENCLOSURE_FEE_PREMIUM,30.0,7,Recinto Premium,2026-05-21T14:45:06.431650
25,SOUVENIR,15.0,8,Recinto Central,2026-05-21T14:45:06.432651900
21,ENCLOSURE_FEE_PREMIUM,30.0,8,Recinto Premium,2026-05-21T14:45:06.433665400
16,ENCLOSURE_FEE_VIP,75.0,9,Recinto VIP,2026-05-21T14:45:06.434923300
26,SOUVENIR,15.0,10,Recinto Central,2026-05-21T14:45:06.434923300
22,ENCLOSURE_FEE_PREMIUM,30.0,10,Recinto Premium,2026-05-21T14:45:06.436189600
27,SOUVENIR,15.0,11,Recinto Central,2026-05-21T14:45:06.437181900
23,ENCLOSURE_FEE_PREMIUM,30.0,11,Recinto Premium,2026-05-21T14:45:06.437181900
28,SOUVENIR,15.0,12,Recinto Central,2026-05-21T14:45:06.438183
24,ENCLOSURE_FEE_PREMIUM,30.0,12,Recinto Premium,2026-05-21T14:45:06.439184
29,SOUVENIR,15.0,13,Recinto Central,2026-05-21T14:45:06.439184
25,ENCLOSURE_FEE_PREMIUM,30.0,13,Recinto Premium,2026-05-21T14:45:06.440182200
30,SOUVENIR,15.0,14,Recinto Central,2026-05-21T14:45:06.441186100
17,ENCLOSURE_FEE_VIP,75.0,14,Recinto VIP,2026-05-21T14:45:06.441186100
18,ENCLOSURE_FEE_VIP,75.0,15,Recinto VIP,2026-05-21T14:45:06.441186100
19,ENCLOSURE_FEE_VIP,75.0,16,Recinto VIP,2026-05-21T14:45:06.442319900
23,ENCLOSURE_FEE_BASIC,10.0,17,Recinto Básico,2026-05-21T14:45:06.442319900
31,SOUVENIR,15.0,18,Recinto Central,2026-05-21T14:45:06.443604800
26,ENCLOSURE_FEE_PREMIUM,30.0,18,Recinto Premium,2026-05-21T14:45:06.444605100
32,SOUVENIR,15.0,19,Recinto Central,2026-05-21T14:45:06.445723500
20,ENCLOSURE_FEE_VIP,75.0,19,Recinto VIP,2026-05-21T14:45:06.445723500
27,ENCLOSURE_FEE_PREMIUM,30.0,20,Recinto Premium,2026-05-21T14:45:06.446728800
33,SOUVENIR,15.0,21,Recinto Central,2026-05-21T14:45:06.446728800
28,ENCLOSURE_FEE_PREMIUM,30.0,21,Recinto Premium,2026-05-21T14:45:06.447728800
29,ENCLOSURE_FEE_PREMIUM,30.0,22,Recinto Premium,2026-05-21T14:45:06.447728800
30,ENCLOSURE_FEE_PREMIUM,30.0,23,Recinto Premium,2026-05-21T14:45:06.448730500
24,ENCLOSURE_FEE_BASIC,10.0,24,Recinto Básico,2026-05-21T14:45:06.449241200
34,SOUVENIR,15.0,25,Recinto Central,2026-05-21T14:45:06.450255300
21,ENCLOSURE_FEE_VIP,75.0,25,Recinto VIP,2026-05-21T14:45:06.450255300
26,TICKET,25.0,26,Lugar de Arribo,2026-05-21T14:45:06.452277100
27,TICKET,25.0,27,Lugar de Arribo,2026-05-21T14:45:06.453272800
28,TICKET,25.0,28,Lugar de Arribo,2026-05-21T14:45:06.454271100
29,TICKET,25.0,29,Lugar de Arribo,2026-05-21T14:45:06.454271100
30,TICKET,25.0,30,Lugar de Arribo,2026-05-21T14:45:06.454271100
22,ENCLOSURE_FEE_VIP,75.0,1,Recinto VIP,2026-05-21T14:45:06.455265900
23,ENCLOSURE_FEE_VIP,75.0,2,Recinto VIP,2026-05-21T14:45:06.456267700
31,ENCLOSURE_FEE_PREMIUM,30.0,3,Recinto Premium,2026-05-21T14:45:06.456267700
32,ENCLOSURE_FEE_PREMIUM,30.0,4,Recinto Premium,2026-05-21T14:45:06.457267400
25,ENCLOSURE_FEE_BASIC,10.0,5,Recinto Básico,2026-05-21T14:45:06.457267400
35,SOUVENIR,15.0,6,Recinto Central,2026-05-21T14:45:06.458267
33,ENCLOSURE_FEE_PREMIUM,30.0,6,Recinto Premium,2026-05-21T14:45:06.458267
34,ENCLOSURE_FEE_PREMIUM,30.0,7,Recinto Premium,2026-05-21T14:45:06.458267
26,ENCLOSURE_FEE_BASIC,10.0,8,Recinto Básico,2026-05-21T14:45:06.459267
36,SOUVENIR,15.0,9,Recinto Central,2026-05-21T14:45:06.459267
35,ENCLOSURE_FEE_PREMIUM,30.0,9,Recinto Premium,2026-05-21T14:45:06.459267
36,ENCLOSURE_FEE_PREMIUM,30.0,10,Recinto Premium,2026-05-21T14:45:06.460268200
37,ENCLOSURE_FEE_PREMIUM,30.0,11,Recinto Premium,2026-05-21T14:45:06.460268200
24,ENCLOSURE_FEE_VIP,75.0,12,Recinto VIP,2026-05-21T14:45:06.461263200
38,ENCLOSURE_FEE_PREMIUM,30.0,13,Recinto Premium,2026-05-21T14:45:06.461263200
25,ENCLOSURE_FEE_VIP,75.0,14,Recinto VIP,2026-05-21T14:45:06.462281300
27,ENCLOSURE_FEE_BASIC,10.0,15,Recinto Básico,2026-05-21T14:45:06.462281300
28,ENCLOSURE_FEE_BASIC,10.0,16,Recinto Básico,2026-05-21T14:45:06.462281300
29,ENCLOSURE_FEE_BASIC,10.0,17,Recinto Básico,2026-05-21T14:45:06.463286200
39,ENCLOSURE_FEE_PREMIUM,30.0,18,Recinto Premium,2026-05-21T14:45:06.463286200
26,ENCLOSURE_FEE_VIP,75.0,19,Recinto VIP,2026-05-21T14:45:06.464752900
40,ENCLOSURE_FEE_PREMIUM,30.0,20,Recinto Premium,2026-05-21T14:45:06.464752900
37,SOUVENIR,15.0,21,Recinto Central,2026-05-21T14:45:06.465752800
41,ENCLOSURE_FEE_PREMIUM,30.0,21,Recinto Premium,2026-05-21T14:45:06.465752800
27,ENCLOSURE_FEE_VIP,75.0,22,Recinto VIP,2026-05-21T14:45:06.466751300
38,SOUVENIR,15.0,23,Recinto Central,2026-05-21T14:45:06.467261300
42,ENCLOSURE_FEE_PREMIUM,30.0,23,Recinto Premium,2026-05-21T14:45:06.467261300
28,ENCLOSURE_FEE_VIP,75.0,24,Recinto VIP,2026-05-21T14:45:06.468633400
43,ENCLOSURE_FEE_PREMIUM,30.0,25,Recinto Premium,2026-05-21T14:45:06.468633400
30,ENCLOSURE_FEE_BASIC,10.0,26,Recinto Básico,2026-05-21T14:45:06.469980700
31,ENCLOSURE_FEE_BASIC,10.0,27,Recinto Básico,2026-05-21T14:45:06.470981600
32,ENCLOSURE_FEE_BASIC,10.0,28,Recinto Básico,2026-05-21T14:45:06.470981600
33,ENCLOSURE_FEE_BASIC,10.0,29,Recinto Básico,2026-05-21T14:45:06.471980
44,ENCLOSURE_FEE_PREMIUM,30.0,30,Recinto Premium,2026-05-21T14:45:06.471980
45,ENCLOSURE_FEE_PREMIUM,30.0,1,Recinto Premium,2026-05-21T14:45:06.473487400
34,ENCLOSURE_FEE_BASIC,10.0,2,Recinto Básico,2026-05-21T14:45:06.474497300
6,SPA_SERVICE,20.0,3,Baños y SPA,2026-05-21T14:45:06.474497300
29,ENCLOSURE_FEE_VIP,75.0,3,Recinto VIP,2026-05-21T14:45:06.475916800
30,ENCLOSURE_FEE_VIP,75.0,4,Recinto VIP,2026-05-21T14:45:06.475916800
39,SOUVENIR,15.0,5,Recinto Central,2026-05-21T14:45:06.476920600
7,SPA_SERVICE,20.0,5,Baños y SPA,2026-05-21T14:45:06.477917300
31,ENCLOSURE_FEE_VIP,75.0,5,Recinto VIP,2026-05-21T14:45:06.477917300
40,SOUVENIR,15.0,6,Recinto Central,2026-05-21T14:45:06.477917300
35,ENCLOSURE_FEE_BASIC,10.0,6,Recinto Básico,2026-05-21T14:45:06.479074400
32,ENCLOSURE_FEE_VIP,75.0,7,Recinto VIP,2026-05-21T14:45:06.479074400
46,ENCLOSURE_FEE_PREMIUM,30.0,8,Recinto Premium,2026-05-21T14:45:06.480476200
41,SOUVENIR,15.0,9,Recinto Central,2026-05-21T14:45:06.480476200
47,ENCLOSURE_FEE_PREMIUM,30.0,9,Recinto Premium,2026-05-21T14:45:06.480476200
36,ENCLOSURE_FEE_BASIC,10.0,10,Recinto Básico,2026-05-21T14:45:06.481899800
42,SOUVENIR,15.0,11,Recinto Central,2026-05-21T14:45:06.481899800
33,ENCLOSURE_FEE_VIP,75.0,11,Recinto VIP,2026-05-21T14:45:06.482902300
48,ENCLOSURE_FEE_PREMIUM,30.0,12,Recinto Premium,2026-05-21T14:45:06.484039600
49,ENCLOSURE_FEE_PREMIUM,30.0,13,Recinto Premium,2026-05-21T14:45:06.484039600
43,SOUVENIR,15.0,14,Recinto Central,2026-05-21T14:45:06.485042200
37,ENCLOSURE_FEE_BASIC,10.0,14,Recinto Básico,2026-05-21T14:45:06.485042200
34,ENCLOSURE_FEE_VIP,75.0,15,Recinto VIP,2026-05-21T14:45:06.486046400
50,ENCLOSURE_FEE_PREMIUM,30.0,16,Recinto Premium,2026-05-21T14:45:06.486046400
35,ENCLOSURE_FEE_VIP,75.0,17,Recinto VIP,2026-05-21T14:45:06.487480200
38,ENCLOSURE_FEE_BASIC,10.0,18,Recinto Básico,2026-05-21T14:45:06.487480200
36,ENCLOSURE_FEE_VIP,75.0,19,Recinto VIP,2026-05-21T14:45:06.487480200
51,ENCLOSURE_FEE_PREMIUM,30.0,20,Recinto Premium,2026-05-21T14:45:06.488483200
39,ENCLOSURE_FEE_BASIC,10.0,21,Recinto Básico,2026-05-21T14:45:06.488483200
37,ENCLOSURE_FEE_VIP,75.0,22,Recinto VIP,2026-05-21T14:45:06.489524900
40,ENCLOSURE_FEE_BASIC,10.0,23,Recinto Básico,2026-05-21T14:45:06.489524900
41,ENCLOSURE_FEE_BASIC,10.0,24,Recinto Básico,2026-05-21T14:45:06.489524900
38,ENCLOSURE_FEE_VIP,75.0,25,Recinto VIP,2026-05-21T14:45:06.489524900
52,ENCLOSURE_FEE_PREMIUM,30.0,26,Recinto Premium,2026-05-21T14:45:06.491019800
44,SOUVENIR,15.0,27,Recinto Central,2026-05-21T14:45:06.491019800
42,ENCLOSURE_FEE_BASIC,10.0,27,Recinto Básico,2026-05-21T14:45:06.492019900
45,SOUVENIR,15.0,28,Recinto Central,2026-05-21T14:45:06.492019900
43,ENCLOSURE_FEE_BASIC,10.0,28,Recinto Básico,2026-05-21T14:45:06.492019900
53,ENCLOSURE_FEE_PREMIUM,30.0,29,Recinto Premium,2026-05-21T14:45:06.493244300
44,ENCLOSURE_FEE_BASIC,10.0,30,Recinto Básico,2026-05-21T14:45:06.493244300
45,ENCLOSURE_FEE_BASIC,10.0,1,Recinto Básico,2026-05-21T14:45:06.494464200
46,SOUVENIR,15.0,2,Recinto Central,2026-05-21T14:45:06.494464200
39,ENCLOSURE_FEE_VIP,75.0,2,Recinto VIP,2026-05-21T14:45:06.495643900
46,ENCLOSURE_FEE_BASIC,10.0,3,Recinto Básico,2026-05-21T14:45:06.495643900
54,ENCLOSURE_FEE_PREMIUM,30.0,4,Recinto Premium,2026-05-21T14:45:06.496646500
55,ENCLOSURE_FEE_PREMIUM,30.0,5,Recinto Premium,2026-05-21T14:45:06.497675900
47,SOUVENIR,15.0,6,Recinto Central,2026-05-21T14:45:06.497675900
56,ENCLOSURE_FEE_PREMIUM,30.0,6,Recinto Premium,2026-05-21T14:45:06.498675900
48,SOUVENIR,15.0,7,Recinto Central,2026-05-21T14:45:06.498675900
57,ENCLOSURE_FEE_PREMIUM,30.0,7,Recinto Premium,2026-05-21T14:45:06.498675900
49,SOUVENIR,15.0,8,Recinto Central,2026-05-21T14:45:06.499726700
58,ENCLOSURE_FEE_PREMIUM,30.0,8,Recinto Premium,2026-05-21T14:45:06.499726700
8,SPA_SERVICE,20.0,9,Baños y SPA,2026-05-21T14:45:06.499726700
47,ENCLOSURE_FEE_BASIC,10.0,9,Recinto Básico,2026-05-21T14:45:06.501098500
9,SPA_SERVICE,20.0,10,Baños y SPA,2026-05-21T14:45:06.501098500
59,ENCLOSURE_FEE_PREMIUM,30.0,10,Recinto Premium,2026-05-21T14:45:06.502391900
50,SOUVENIR,15.0,11,Recinto Central,2026-05-21T14:45:06.502391900
40,ENCLOSURE_FEE_VIP,75.0,11,Recinto VIP,2026-05-21T14:45:06.503766800
51,SOUVENIR,15.0,12,Recinto Central,2026-05-21T14:45:06.503766800
41,ENCLOSURE_FEE_VIP,75.0,12,Recinto VIP,2026-05-21T14:45:06.503766800
60,ENCLOSURE_FEE_PREMIUM,30.0,13,Recinto Premium,2026-05-21T14:45:06.504948700
42,ENCLOSURE_FEE_VIP,75.0,14,Recinto VIP,2026-05-21T14:45:06.504948700
52,SOUVENIR,15.0,15,Recinto Central,2026-05-21T14:45:06.504948700
43,ENCLOSURE_FEE_VIP,75.0,15,Recinto VIP,2026-05-21T14:45:06.506181100
48,ENCLOSURE_FEE_BASIC,10.0,16,Recinto Básico,2026-05-21T14:45:06.506181100
44,ENCLOSURE_FEE_VIP,75.0,17,Recinto VIP,2026-05-21T14:45:06.506685600
49,ENCLOSURE_FEE_BASIC,10.0,18,Recinto Básico,2026-05-21T14:45:06.507695800
53,SOUVENIR,15.0,19,Recinto Central,2026-05-21T14:45:06.507695800
61,ENCLOSURE_FEE_PREMIUM,30.0,19,Recinto Premium,2026-05-21T14:45:06.507695800
45,ENCLOSURE_FEE_VIP,75.0,20,Recinto VIP,2026-05-21T14:45:06.509170800
50,ENCLOSURE_FEE_BASIC,10.0,21,Recinto Básico,2026-05-21T14:45:06.509170800
54,SOUVENIR,15.0,22,Recinto Central,2026-05-21T14:45:06.510172900
46,ENCLOSURE_FEE_VIP,75.0,22,Recinto VIP,2026-05-21T14:45:06.511176500
55,SOUVENIR,15.0,23,Recinto Central,2026-05-21T14:45:06.511176500
47,ENCLOSURE_FEE_VIP,75.0,23,Recinto VIP,2026-05-21T14:45:06.512511300
48,ENCLOSURE_FEE_VIP,75.0,24,Recinto VIP,2026-05-21T14:45:06.512511300
56,SOUVENIR,15.0,25,Recinto Central,2026-05-21T14:45:06.513905300
51,ENCLOSURE_FEE_BASIC,10.0,25,Recinto Básico,2026-05-21T14:45:06.515363
52,ENCLOSURE_FEE_BASIC,10.0,26,Recinto Básico,2026-05-21T14:45:06.515363
57,SOUVENIR,15.0,27,Recinto Central,2026-05-21T14:45:06.516547900
49,ENCLOSURE_FEE_VIP,75.0,27,Recinto VIP,2026-05-21T14:45:06.517547700
58,SOUVENIR,15.0,28,Recinto Central,2026-05-21T14:45:06.517547700
53,ENCLOSURE_FEE_BASIC,10.0,28,Recinto Básico,2026-05-21T14:45:06.519045500
59,SOUVENIR,15.0,29,Recinto Central,2026-05-21T14:45:06.520555200
62,ENCLOSURE_FEE_PREMIUM,30.0,29,Recinto Premium,2026-05-21T14:45:06.520555200
63,ENCLOSURE_FEE_PREMIUM,30.0,30,Recinto Premium,2026-05-21T14:45:06.521562500
54,ENCLOSURE_FEE_BASIC,10.0,1,Recinto Básico,2026-05-21T14:45:06.522562900
60,SOUVENIR,15.0,2,Recinto Central,2026-05-21T14:45:06.522562900
64,ENCLOSURE_FEE_PREMIUM,30.0,2,Recinto Premium,2026-05-21T14:45:06.523680500
55,ENCLOSURE_FEE_BASIC,10.0,3,Recinto Básico,2026-05-21T14:45:06.523680500
61,SOUVENIR,15.0,4,Recinto Central,2026-05-21T14:45:06.524803100
56,ENCLOSURE_FEE_BASIC,10.0,4,Recinto Básico,2026-05-21T14:45:06.524803100
62,SOUVENIR,15.0,5,Recinto Central,2026-05-21T14:45:06.525814300
50,ENCLOSURE_FEE_VIP,75.0,5,Recinto VIP,2026-05-21T14:45:06.525814300
63,SOUVENIR,15.0,6,Recinto Central,2026-05-21T14:45:06.525814300
65,ENCLOSURE_FEE_PREMIUM,30.0,6,Recinto Premium,2026-05-21T14:45:06.526814300
66,ENCLOSURE_FEE_PREMIUM,30.0,7,Recinto Premium,2026-05-21T14:45:06.526814300
64,SOUVENIR,15.0,8,Recinto Central,2026-05-21T14:45:06.526814300
51,ENCLOSURE_FEE_VIP,75.0,8,Recinto VIP,2026-05-21T14:45:06.526814300
57,ENCLOSURE_FEE_BASIC,10.0,9,Recinto Básico,2026-05-21T14:45:06.528248700
67,ENCLOSURE_FEE_PREMIUM,30.0,10,Recinto Premium,2026-05-21T14:45:06.528248700
58,ENCLOSURE_FEE_BASIC,10.0,11,Recinto Básico,2026-05-21T14:45:06.529325400
68,ENCLOSURE_FEE_PREMIUM,30.0,12,Recinto Premium,2026-05-21T14:45:06.529325400
65,SOUVENIR,15.0,13,Recinto Central,2026-05-21T14:45:06.529325400
59,ENCLOSURE_FEE_BASIC,10.0,13,Recinto Básico,2026-05-21T14:45:06.530324200
60,ENCLOSURE_FEE_BASIC,10.0,14,Recinto Básico,2026-05-21T14:45:06.530324200
66,SOUVENIR,15.0,15,Recinto Central,2026-05-21T14:45:06.530324200
52,ENCLOSURE_FEE_VIP,75.0,15,Recinto VIP,2026-05-21T14:45:06.530324200
67,SOUVENIR,15.0,16,Recinto Central,2026-05-21T14:45:06.531607
69,ENCLOSURE_FEE_PREMIUM,30.0,16,Recinto Premium,2026-05-21T14:45:06.531607
70,ENCLOSURE_FEE_PREMIUM,30.0,17,Recinto Premium,2026-05-21T14:45:06.531607
53,ENCLOSURE_FEE_VIP,75.0,18,Recinto VIP,2026-05-21T14:45:06.531607
71,ENCLOSURE_FEE_PREMIUM,30.0,19,Recinto Premium,2026-05-21T14:45:06.533064300
54,ENCLOSURE_FEE_VIP,75.0,20,Recinto VIP,2026-05-21T14:45:06.533064300
61,ENCLOSURE_FEE_BASIC,10.0,21,Recinto Básico,2026-05-21T14:45:06.534066
68,SOUVENIR,15.0,22,Recinto Central,2026-05-21T14:45:06.534066
55,ENCLOSURE_FEE_VIP,75.0,22,Recinto VIP,2026-05-21T14:45:06.535428100
69,SOUVENIR,15.0,23,Recinto Central,2026-05-21T14:45:06.535428100
